id,x,y
31524,272,3100
27982,269,3088
21351,264,3894
30000,271,1861
14289,258,4354
33049,273,3698
24843,266,4542
37834,276,3449
18934,263,1651
7622,252,4061
19169,263,1992
36783,276,819
30704,271,4382
1941,249,798
30054,271,2061
44264,286,2635
43570,283,3469
38220,276,4043
38573,277,1182
11304,255,4474
11149,255,4117
17469,261,4502
38216,276,4039
21056,264,2738
9449,254,1899
15055,259,3480
29742,271,1129
34825,274,4549
3823,250,1311
21872,265,355
44231,286,2602
6576,252,340
16152,260,3903
35488,275,2043
38300,276,4229
2896,249,3381
15299,259,4383
2443,249,1637
33827,274,1883
38755,277,1480
17087,261,3117
16317,260,4486
23429,266,340
37771,276,3386
31806,272,3916
34242,274,3274
44690,288,2594
