id,x,y
42381,279,3791
21568,264,4111
17520,262,309
43438,283,814
44119,286,308
31529,272,3105
20165,263,4458
3488,250,880
6767,252,1324
43087,281,3486
16372,261,313
3914,250,1628
40017,277,4409
33147,273,3962
20334,264,1111
9877,254,3635
23057,265,4013
21947,265,1132
27353,268,4532
25035,267,1383
44957,289,2640
39065,277,2588
31887,272,4128
3342,249,4512
36831,276,1193
15314,259,4449
31001,272,1329
17669,262,1371
24636,266,4141
42459,279,4010
8431,253,2796
42243,279,3471
9175,254,1162
36960,276,1322
44412,287,796
40246,278,1242
26743,268,2545
12405,256,4489
37751,276,3366
27935,269,2880
17347,261,4317
37966,276,3698
4444,250,3409
30246,271,2921
43189,282,810
1797,248,4080
29900,271,1534
10383,255,1339
41421,278,4391
39512,277,3454
