id,x,y
14409,258,4536
42058,279,3004
17632,262,1123
26444,268,1160
35579,275,2676
10772,255,2783
21745,264,4451
39296,277,3052
9454,254,2025
41462,278,4432
12788,257,1854
8154,253,1630
26272,267,4535
35782,275,3025
4217,250,2809
23795,266,1892
12961,257,2891
31996,272,4414
26295,267,4558
20552,264,1823
21206,264,3256
9380,254,1659
2279,249,1237
30536,271,3906
5093,251,924
18120,262,2731
15406,259,4542
14769,259,1853
6853,252,1606
7488,252,3645
12622,257,1375
489,247,3351
11630,256,1600
10249,255,342
3373,250,334
9051,254,311
41555,279,352
178,247,977
8102,253,1578
38951,277,1973
6009,251,3358
16388,261,329
41108,278,3715
32980,273,3629
6306,251,4007
40085,277,4588
26198,267,4399
34627,274,4068
17190,261,3502
35730,275,2973
