id,x,y
22545,265,2635
5609,251,1953
13674,258,1562
10643,255,2062
12277,256,4290
14620,259,1411
34358,274,3461
4114,250,2054
28549,270,344
16908,261,2671
18316,262,3476
39269,277,3025
28114,269,3497
39122,277,2706
3298,249,4468
23108,265,4064
32706,273,2901
33855,274,1911
9150,254,1137
21327,264,3870
9036,253,4515
19479,263,2723
4016,250,1956
21932,265,1117
7055,252,2055
8271,253,2019
27764,269,1865
19285,263,2529
30514,271,3703
25327,267,1958
8939,253,4327
3570,250,962
13595,258,1151
32965,273,3503
18703,263,340
12366,256,4450
53,247,852
37983,276,3715
41018,278,3473
34873,275,318
2001,249,858
2041,249,898
13437,257,4515
9303,254,1582
29321,270,3675
16004,260,3262
45553,292,2648
22842,265,3496
29672,271,337
28789,270,1684
