id,x,y
15273,259,4357
10661,255,2080
20549,264,1820
31741,272,3680
14689,259,1642
18935,263,1652
455,247,2793
34443,274,3657
14029,258,3244
27204,268,4280
9245,254,1353
15072,259,3497
4664,250,3991
14278,258,4343
14237,258,4301
31901,272,4142
33447,274,352
6660,252,1166
9995,254,4090
6409,251,4110
12994,257,3095
36457,275,4063
27075,268,3683
25760,267,3507
12183,256,3899
39083,277,2667
4353,250,3318
33330,273,4433
20153,263,4446
10166,254,4483
16893,261,2656
41536,279,333
19374,263,2618
11077,255,3904
11373,256,314
17798,262,1662
3840,250,1328
1108,248,1301
31595,272,3292
16971,261,2734
1245,248,1960
28642,270,1154
14942,259,3090
41611,279,1210
9173,254,1160
40489,278,1948
5044,251,875
39939,277,4104
4881,250,4495
17275,261,3889
