id,x,y
35280,275,1734
7324,252,3319
23392,265,4557
30776,271,4454
5239,251,1161
17660,262,1151
8093,253,1569
43700,284,821
11307,255,4477
23693,266,1694
265,247,1225
28065,269,3272
6234,251,3935
2876,249,3361
22903,265,3668
497,247,3359
19328,263,2572
30838,272,313
36700,275,4589
8213,253,1870
29358,270,3898
33331,273,4434
37827,276,3442
7983,253,1187
33766,274,1726
26577,268,1681
16376,261,317
6124,251,3473
14144,258,3651
2795,249,3119
41230,278,3953
8517,253,3119
4725,250,4052
21828,265,311
34735,274,4277
19116,263,1939
28103,269,3486
23055,265,4011
22953,265,3909
44890,289,812
13457,257,4535
30288,271,3099
20030,263,4130
2003,249,860
43739,284,2601
11202,255,4301
1976,249,833
42881,281,321
30029,271,2036
39749,277,3818
