id,x,y
6346,251,4047
18658,262,4544
2561,249,1991
17091,261,3121
6725,252,1231
14590,259,1381
39542,277,3484
35702,275,2945
13352,257,4369
21659,264,4313
24810,266,4468
17834,262,1809
44996,289,3480
30640,271,4247
27629,269,1528
13700,258,1588
8624,253,3438
8369,253,2493
25086,267,1530
11189,255,4288
43805,284,2668
21920,265,834
2275,249,1233
44940,289,2623
31236,272,1887
16039,260,3483
29712,271,808
34035,274,2709
39864,277,4029
35400,275,1955
17655,262,1146
20497,264,1662
24413,266,3918
38436,276,4567
14523,259,1123
20997,264,2679
11482,256,1140
32800,273,3101
3041,249,3638
43278,282,2656
44089,285,3487
43529,283,2652
26063,267,4112
12320,256,4333
10019,254,4114
40702,278,2899
32009,272,4427
9415,254,1865
42035,279,2981
9683,254,3093
