id,x,y
2013,249,870
12845,257,2483
31943,272,4280
37278,276,2023
24151,266,2911
37333,276,2564
34000,274,2674
26552,268,1555
1956,249,813
42225,279,3422
8166,253,1642
44076,285,3474
4520,250,3485
21030,264,2712
39490,277,3432
40440,278,1899
27171,268,4151
25296,267,1927
38069,276,3801
23622,266,1532
37840,276,3455
42082,279,3028
34277,274,3309
22828,265,3482
36290,275,3800
45125,290,831
14164,258,3671
22031,265,1528
24334,266,3653
9269,254,1377
5126,251,957
24020,266,2528
3425,250,817
10119,254,4355
15230,259,4313
45593,292,3504
35984,275,3383
34495,274,3709
16519,261,1373
30322,271,3249
5101,251,932
31615,272,3312
28899,270,2046
8364,253,2488
26242,267,4454
23668,266,1669
11113,255,3940
44197,286,817
16907,261,2670
28698,270,1381
