id,x,y
13544,258,819
43277,282,2655
27792,269,2064
10410,255,1366
19051,263,1874
20275,264,350
15713,260,1675
10547,255,1664
32037,272,4536
16690,261,1817
15285,259,4369
45518,292,2613
9868,254,3515
3255,249,4314
10639,255,2058
28728,270,1502
34617,274,4058
34367,274,3470
39219,277,2975
12504,257,790
37391,276,2683
22261,265,1940
24108,266,2868
30307,271,3118
6063,251,3412
1515,248,3365
16231,260,4349
15918,260,2909
33876,274,2003
6681,252,1187
45513,292,2608
11142,255,4110
31965,272,4383
22412,265,2091
28254,269,4105
8794,253,3940
13293,257,4310
33982,274,2575
20958,264,2640
1250,248,1965
18938,263,1655
14964,259,3112
38297,276,4120
20086,263,4348
23486,266,828
38779,277,1504
1462,248,3126
44334,286,3496
7529,252,3917
23350,265,4515
