id,x,y
23041,265,3997
5372,251,1294
17487,261,4520
29643,271,308
1098,248,1291
5359,251,1281
27528,269,1155
5841,251,2878
28276,269,4127
16565,261,1535
27803,269,2075
6911,252,1860
14509,259,833
3361,250,322
40979,278,3423
19119,263,1942
2922,249,3407
1696,248,3979
28192,269,3686
18556,262,4390
6848,252,1601
10869,255,3122
16226,260,4344
31093,272,1512
19406,263,2650
14695,259,1648
35995,275,3394
23322,265,4446
37270,276,2015
6366,251,4067
38940,277,1962
9094,254,354
12476,257,331
17702,262,1404
37197,276,1942
25525,267,2703
30935,272,1132
16586,261,1556
43815,284,2678
29359,270,3899
22980,265,3936
22740,265,3112
13126,257,3509
11356,255,4526
21606,264,4149
25127,267,1662
28025,269,3131
1598,248,3474
36403,275,4009
36427,275,4033
