id,x,y
39889,277,4054
137,247,936
32834,273,3261
2855,249,3340
19874,263,3974
3576,250,968
7281,252,3276
33457,274,793
9727,254,3253
4357,250,3322
11337,255,4507
12017,256,3255
37548,276,2997
25607,267,2901
39632,277,3701
42695,280,821
39231,277,2987
29374,270,3914
38113,276,3936
14157,258,3664
29555,270,4418
33121,273,3936
3198,249,4056
12224,256,3940
12125,256,3635
18856,263,1406
5589,251,1933
8409,253,2774
36275,275,3785
17786,262,1650
18650,262,4536
21194,264,3244
12330,256,4343
24837,266,4536
1700,248,3983
41651,279,1250
40618,278,2598
7208,252,2901
15425,260,322
41161,278,3768
19360,263,2604
41191,278,3798
29531,270,4394
33807,274,1863
27301,268,4429
30576,271,3946
38836,277,1742
42670,280,796
38488,277,330
12233,256,4110
