id,x,y
26588,268,1692
16267,260,4385
6701,252,1207
14845,259,2736
8570,253,3293
18454,262,3916
43072,281,3471
15236,259,4319
12522,257,808
33711,274,1520
44558,287,3484
40948,278,3392
7468,252,3514
36519,275,4125
41110,278,3717
3382,250,343
24835,266,4534
26957,268,3273
25191,267,1822
13001,257,3102
4809,250,4322
17230,261,3653
20467,264,1561
27317,268,4445
10229,255,322
679,247,4489
13100,257,3483
29205,270,3277
24924,267,795
44582,287,3508
20916,264,2598
17257,261,3871
34406,274,3509
2345,249,1303
32053,272,4552
3838,250,1326
37059,276,1698
25694,267,3255
25814,267,3672
13672,258,1560
12268,256,4145
20861,264,2543
26253,267,4465
5060,251,891
35154,275,1346
27984,269,3090
31964,272,4382
22808,265,3271
13545,258,820
25926,267,3975
