id,x,y
23106,265,4062
15057,259,3482
20565,264,1836
18580,262,4445
17989,262,2600
6467,251,4344
1141,248,1595
1834,248,4343
39783,277,3948
13328,257,4345
30953,272,1150
34841,274,4565
17447,261,4469
30022,271,1883
10096,254,4332
39851,277,4016
36439,275,4045
21993,265,1389
14359,258,4485
3856,250,1344
26505,268,1508
29551,270,4414
23562,266,1376
39342,277,3098
27763,269,1864
18510,262,4344
16794,261,2557
8180,253,1656
38058,276,3790
2970,249,3455
875,248,942
737,248,804
1399,248,2882
24160,266,3091
35429,275,1984
13283,257,4300
35253,275,1707
24464,266,3969
23700,266,1701
33272,273,4375
6443,251,4320
21313,264,3665
6405,251,4106
6156,251,3505
15850,260,2750
18425,262,3887
26629,268,1829
23074,265,4030
27262,268,4389
40339,278,1335
