id,x,y
7741,252,4341
5137,251,968
38476,277,318
3285,249,4344
17556,262,345
186,247,985
41965,279,2679
12617,257,1370
16424,261,796
38757,277,1482
3269,249,4328
12782,257,1848
19460,263,2704
16744,261,2507
6378,251,4079
8729,253,3654
16254,260,4372
7783,252,4474
39544,277,3486
39493,277,3435
17248,261,3671
2809,249,3133
20718,264,1989
24147,266,2907
11391,256,332
24088,266,2737
5003,251,834
40476,278,1935
2494,249,1924
19439,263,2683
4155,250,2486
8760,253,3906
7067,252,2067
15357,259,4493
41974,279,2688
26874,268,3089
12398,256,4482
39389,277,3331
15161,259,3893
6973,252,1922
33755,274,1715
27411,269,326
36425,275,4031
5535,251,1879
10461,255,1578
26155,267,4305
11393,256,334
27828,269,2526
19180,263,2003
43097,281,3496
