id,x,y
22187,265,1866
44789,288,3489
15021,259,3265
2380,249,1338
35178,275,1370
40714,278,2911
7564,252,3952
2900,249,3385
10928,255,3292
8807,253,3953
32334,273,1488
12814,257,2061
42729,280,2581
1779,248,4062
10510,255,1627
2853,249,3338
12652,257,1556
4883,250,4497
9885,254,3643
25056,267,1404
4711,250,4038
42606,279,4580
15878,260,2869
13462,257,4540
44753,288,2657
27381,268,4560
24184,266,3115
12219,256,3935
18799,263,1138
16951,261,2714
19082,263,1905
9431,254,1881
38333,276,4262
11691,256,1662
41659,279,1258
2943,249,3428
9708,254,3118
34057,274,2877
38962,277,1984
16952,261,2715
10604,255,1882
5778,251,2759
27804,269,2076
22108,265,1686
7873,253,345
45493,292,812
24510,266,4015
16202,260,4309
31190,272,1841
24533,266,4038
