id,x,y
36856,276,1218
24580,266,4085
22182,265,1861
6970,252,1919
45690,293,3480
16675,261,1686
30030,271,2037
25893,267,3942
33610,274,1323
24315,266,3634
26560,268,1664
4060,250,2000
24013,266,2521
7305,252,3300
9503,254,2074
35810,275,3053
35158,275,1350
25925,267,3974
10107,254,4343
10108,254,4344
24203,266,3134
9088,254,348
21413,264,3956
26437,268,1153
24543,266,4048
20352,264,1129
40500,278,1959
42983,281,2585
21337,264,3880
9736,254,3262
5514,251,1858
29043,270,2732
1516,248,3366
29209,270,3281
40307,278,1303
14843,259,2734
8963,253,4351
40557,278,2016
1877,248,4507
13670,258,1558
1541,248,3391
39779,277,3944
9261,254,1369
33603,274,1316
31888,272,4129
3911,250,1625
6953,252,1902
36829,276,1191
40744,278,2977
29660,271,325
