id,x,y
224,247,1023
28309,269,4251
25590,267,2884
21408,264,3951
17103,261,3133
28436,269,4439
3729,250,1217
4150,250,2481
16802,261,2565
13290,257,4307
43102,281,3501
14003,258,3117
10860,255,3113
18917,263,1573
11412,256,353
17481,261,4514
36081,275,3480
14403,258,4530
42860,280,3509
29909,271,1543
9921,254,3895
33469,274,805
23123,265,4079
38074,276,3806
14023,258,3238
1471,248,3321
16541,261,1395
17222,261,3645
19025,263,1848
29649,271,314
14644,259,1566
37495,276,2944
15867,260,2767
19730,263,3639
13671,258,1559
29331,270,3685
31402,272,2721
28876,270,1862
34132,274,2952
7662,252,4101
25467,267,2514
12432,256,4516
12678,257,1582
45255,291,324
6146,251,3495
3805,250,1293
20491,264,1656
20204,263,4528
22709,265,2910
16223,260,4341
