id,x,y
38825,277,1731
34719,274,4261
26901,268,3116
26492,268,1399
10749,255,2760
8848,253,4085
33082,273,3897
32137,273,793
21382,264,3925
495,247,3357
43250,282,2607
35365,275,1920
42092,279,3038
26894,268,3109
28732,270,1506
4688,250,4015
12602,257,1355
30058,271,2065
40534,278,1993
25929,267,3978
24960,267,831
38468,277,310
41374,278,4233
25869,267,3918
15091,259,3516
24480,266,3985
37994,276,3726
38289,276,4112
31959,272,4377
11060,255,3676
16474,261,1117
9983,254,3957
33148,273,3963
8702,253,3516
42320,279,3730
24361,266,3680
22921,265,3877
41928,279,2601
40805,278,3038
4808,250,4321
32927,273,3465
27823,269,2095
32039,272,4538
13945,258,2888
26387,268,822
10582,255,1860
21772,264,4509
21437,264,3980
38738,277,1347
38081,276,3813
