id,x,y
3262,249,4321
23278,265,4381
2832,249,3317
16724,261,1851
4266,250,2909
4916,251,316
27203,268,4279
8959,253,4347
15613,260,1544
26627,268,1827
6222,251,3923
45491,292,810
27020,268,3628
28221,269,3901
2857,249,3342
17519,262,308
43002,281,2604
22318,265,1997
27147,268,4127
22063,265,1560
1096,248,1289
29063,270,2883
8315,253,2063
20177,263,4470
106,247,905
37984,276,3716
25022,267,1370
40289,278,1285
32994,273,3643
5839,251,2876
7711,252,4311
44618,288,335
4514,250,3479
41498,278,4579
7978,253,1182
13321,257,4338
40000,277,4392
4837,250,4350
7165,252,2797
45041,290,316
37947,276,3673
28580,270,806
14426,259,319
21618,264,4272
10194,254,4511
41007,278,3451
3790,250,1278
1713,248,3996
37120,276,1865
1814,248,4323
