id,x,y
31682,272,3510
14212,258,3920
16723,261,1850
4753,250,4080
28485,269,4549
28509,269,4573
14895,259,2872
20941,264,2623
4937,251,337
26706,268,2087
20665,264,1936
8020,253,1315
34212,274,3103
9402,254,1852
232,247,1031
14105,258,3501
30656,271,4263
18069,262,2680
43591,283,3490
29454,270,4155
24914,267,354
11379,256,320
2069,249,926
12631,257,1384
27268,268,4395
36710,276,315
18815,263,1154
20277,264,352
13030,257,3131
18628,262,4514
36485,275,4091
10741,255,2752
15013,259,3257
8679,253,3493
33743,274,1703
42025,279,2971
30812,271,4561
16685,261,1812
41542,279,339
36173,275,3683
1208,248,1923
9863,254,3510
5709,251,2053
13199,257,3899
8875,253,4112
37730,276,3345
23205,265,4267
44303,286,2674
28769,270,1543
13226,257,3926
