id,x,y
8557,253,3280
37298,276,2043
11151,255,4119
42072,279,3018
34198,274,3089
14462,259,355
24283,266,3491
28486,269,4550
5848,251,2885
6751,252,1308
34959,275,835
20666,264,1937
14638,259,1560
13220,257,3920
14326,258,4452
30497,271,3686
36755,276,791
11734,256,1856
7751,252,4351
2223,249,1181
44537,287,2672
41613,279,1212
38196,276,4019
14860,259,2751
3959,250,1899
5567,251,1911
43803,284,2666
6174,251,3634
18916,263,1572
15237,259,4320
8352,253,2476
15743,260,1831
29342,270,3696
5121,251,952
40942,278,3386
27829,269,2527
12244,256,4121
29316,270,3670
43881,285,316
33038,273,3687
44937,289,2620
999,248,1066
12150,256,3660
37913,276,3639
4980,251,811
4991,251,822
2176,249,1033
39795,277,3960
34961,275,1153
37324,276,2555
