id,x,y
22294,265,1973
4612,250,3939
745,248,812
26821,268,2744
31129,272,1689
10644,255,2063
12178,256,3894
1546,248,3396
12310,256,4323
4017,250,1957
39747,277,3816
5457,251,1590
37586,276,3035
41852,279,1984
36332,275,3938
20420,264,1408
19949,263,4049
20987,264,2669
34090,274,2910
24714,266,4361
32425,273,1730
37879,276,3494
14210,258,3918
27395,269,310
2104,249,961
42718,280,2570
5337,251,1259
23386,265,4551
39771,277,3936
41371,278,4094
20806,264,2077
41253,278,3976
14854,259,2745
3683,250,1171
11302,255,4472
40319,278,1315
28883,270,1869
8992,253,4471
25742,267,3489
20477,264,1571
28498,269,4562
12646,257,1399
22492,265,2582
10200,254,4517
742,248,809
3201,249,4059
2921,249,3406
16010,260,3268
36171,275,3681
42832,280,3481
