id,x,y
4669,250,3996
6058,251,3407
39681,277,3750
40992,278,3436
11820,256,2484
31832,272,3942
39792,277,3957
33153,273,4079
44361,287,314
17389,261,4370
36380,275,3986
17319,261,4289
35334,275,1889
43146,282,336
3024,249,3510
44067,285,2679
24081,266,2730
24015,266,2523
1646,248,3643
23602,266,1416
35297,275,1751
8027,253,1322
1429,248,3093
45606,293,323
9535,254,2477
21967,265,1152
9741,254,3267
15882,260,2873
44517,287,2652
27592,269,1400
8118,253,1594
11194,255,4293
5813,251,2794
41204,278,3811
18843,263,1393
35838,275,3081
22592,265,2682
14012,258,3126
39984,277,4265
12187,256,3903
21717,264,4423
13521,258,796
18084,262,2695
2002,249,859
41022,278,3477
31180,272,1831
19493,263,2737
16928,261,2691
32418,273,1723
7603,252,3991
