id,x,y
27333,268,4461
26789,268,2712
22221,265,1900
34262,274,3294
29233,270,3476
27796,269,2068
19672,263,3470
35910,275,3309
38749,277,1474
12177,256,3893
35479,275,2034
11507,256,1165
37975,276,3707
12996,257,3097
3059,249,3656
244,247,1043
4679,250,4006
34918,275,794
19771,263,3871
29916,271,1681
25495,267,2542
19693,263,3491
45109,290,815
12165,256,3675
14497,259,821
45339,291,2610
38433,276,4564
13979,258,3093
2147,249,1004
37176,276,1921
26694,268,2075
11712,256,1834
39259,277,3015
27130,268,4110
39200,277,2956
25064,267,1508
41112,278,3719
41329,278,4052
21869,265,352
30682,271,4289
18604,262,4469
668,247,4066
16170,260,3921
45329,291,829
5725,251,2455
34556,274,3926
1235,248,1950
8112,253,1588
1581,248,3431
26791,268,2714
