id,x,y
27726,269,1827
15528,260,1132
19754,263,3663
22347,265,2026
42216,279,3413
3697,250,1185
16188,260,4295
25993,267,4042
29109,270,2929
44672,288,820
20625,264,1896
23176,265,4132
2788,249,3112
40203,278,1199
40916,278,3360
25394,267,2025
3511,250,903
23075,265,4031
29647,271,312
26793,268,2716
30707,271,4385
18684,263,321
12440,256,4524
4203,250,2795
17145,261,3266
33403,274,308
34432,274,3646
8674,253,3488
15167,259,3899
11735,256,1857
7814,252,4505
12340,256,4353
35086,275,1278
30968,272,1165
10071,254,4307
24371,266,3876
6516,251,4494
35691,275,2934
20870,264,2552
44205,286,825
26168,267,4369
40636,278,2667
15988,260,3246
15986,260,3244
34223,274,3114
11340,255,4510
37274,276,2019
45018,289,3502
17024,261,2883
44221,286,2592
