id,x,y
29284,270,3638
36089,275,3488
39987,277,4268
16442,261,814
18479,262,4292
28355,269,4297
3460,250,852
18874,263,1530
26150,267,4300
21534,264,4077
38387,276,4417
1892,249,318
24040,266,2548
36560,275,4267
2082,249,939
1796,248,4079
25524,267,2702
34655,274,4096
18621,262,4507
32441,273,1837
2852,249,3337
24652,266,4258
16160,260,3911
31504,272,3080
32075,272,4574
42844,280,3493
35908,275,3307
31362,272,2681
9389,254,1839
27959,269,2904
11231,255,4330
27897,269,2716
10233,255,326
5981,251,3330
29220,270,3292
27114,268,3913
16192,260,4299
28505,269,4569
39096,277,2680
14213,258,3921
6283,251,3984
36506,275,4112
16528,261,1382
21238,264,3479
17189,261,3501
28824,270,1719
37458,276,2901
4259,250,2902
19910,263,4010
29257,270,3500
