id,x,y
31138,272,1698
10313,255,1128
24415,266,3920
36039,275,3438
25655,267,3120
4554,250,3630
32049,272,4548
42865,280,3514
26249,267,4461
37733,276,3348
41323,278,4046
2589,249,2019
40189,278,834
3662,250,1054
9845,254,3492
23604,266,1514
30947,272,1144
26345,268,349
5307,251,1229
6934,252,1883
3517,250,909
27241,268,4368
36042,275,3441
12209,256,3925
13107,257,3490
19448,263,2692
586,247,3982
18151,262,2762
636,247,4033
33235,273,4257
36410,275,4016
22326,265,2005
40078,277,4581
22317,265,1996
26679,268,2060
40363,278,1495
32686,273,2881
25435,267,2066
37594,276,3043
40151,278,796
28870,270,1856
30421,271,3499
11072,255,3899
7966,253,1170
6976,252,1925
14498,259,822
6729,252,1235
36225,275,3735
688,248,314
32496,273,1892
