id,x,y
5178,251,1009
36617,275,4415
6642,252,1148
228,247,1027
18357,262,3628
10051,254,4146
23559,266,1373
2952,249,3437
21164,264,3123
41020,278,3475
13819,258,2480
8594,253,3317
1521,248,3371
13095,257,3478
17589,262,809
28561,270,356
15240,259,4323
9183,254,1170
22970,265,3926
45432,291,3514
44397,287,350
30373,271,3300
40648,278,2679
27596,269,1404
4422,250,3387
17804,262,1668
10545,255,1662
20723,264,1994
45667,293,2626
21333,264,3876
4384,250,3349
10831,255,2913
4694,250,4021
27973,269,2918
21853,265,336
23022,265,3978
27328,268,4456
2785,249,3109
20254,264,329
44897,289,819
35506,275,2061
29968,271,1829
20018,263,4118
29755,271,1142
37903,276,3629
787,248,854
42282,279,3510
19139,263,1962
34366,274,3469
9044,253,4523
