id,x,y
8586,253,3309
27501,269,1128
37610,276,3059
25844,267,3893
27451,269,797
9352,254,1631
33567,274,1209
24616,266,4121
25615,267,2909
43337,282,3491
3026,249,3512
10419,255,1375
1860,248,4490
31194,272,1845
25366,267,1997
35486,275,2041
20810,264,2081
4953,251,353
7167,252,2799
24691,266,4297
33998,274,2591
44522,287,2657
44241,286,2612
7119,252,2500
11719,256,1841
32960,273,3498
29011,270,2700
35964,275,3363
19173,263,1996
43571,283,3470
10309,255,833
14560,259,1160
36523,275,4129
19522,263,2766
29756,271,1143
44799,288,3499
5163,251,994
26625,268,1825
33862,274,1918
42365,279,3775
37307,276,2052
4475,250,3440
40202,278,1198
2365,249,1323
11096,255,3923
32103,273,328
20114,263,4376
438,247,2004
35083,275,1275
2963,249,3448
