id,x,y
38946,277,1968
36085,275,3484
36438,275,4044
9430,254,1880
16659,261,1670
43353,282,3507
28857,270,1843
34619,274,4060
43519,283,2642
16553,261,1407
3444,250,836
25678,267,3239
38082,276,3814
20305,264,811
21547,264,4090
18858,263,1408
16179,260,4286
28521,270,316
2570,249,2000
43945,285,811
37442,276,2885
4204,250,2796
14240,258,4304
30357,271,3284
6537,251,4515
17652,262,1143
6957,252,1906
21454,264,3997
39419,277,3361
22220,265,1899
17714,262,1416
29603,270,4537
29589,270,4452
20257,264,332
34641,274,4082
30846,272,321
35208,275,1501
17471,261,4504
3866,250,1354
15307,259,4442
13270,257,4287
35888,275,3287
18533,262,4367
3142,249,4000
41638,279,1237
43120,282,310
17139,261,3260
21462,264,4005
15595,260,1400
32060,272,4559
