id,x,y
28532,270,327
5969,251,3318
37247,276,1992
24954,267,825
29176,270,3248
40154,278,799
20804,264,2075
29894,271,1528
1204,248,1919
33024,273,3673
23880,266,1977
12200,256,3916
8077,253,1372
9134,254,825
25067,267,1511
25193,267,1824
28239,269,3919
23902,266,1999
36465,275,4071
11755,256,1877
28827,270,1722
16658,261,1669
14163,258,3670
5218,251,1049
35965,275,3364
6502,251,4480
34108,274,2928
14244,258,4308
7207,252,2900
23757,266,1854
19342,263,2586
16322,260,4502
1125,248,1318
36909,276,1271
20886,264,2568
36850,276,1212
9599,254,2772
19666,263,3273
41533,279,330
36994,276,1356
17308,261,4278
14817,259,2517
40903,278,3347
5823,251,2804
7545,252,3933
38986,277,2008
22205,265,1884
95,247,894
39927,277,4092
6975,252,1924
