id,x,y
12591,257,1163
20162,263,4455
31139,272,1699
32139,273,795
30990,272,1187
24344,266,3663
409,247,1974
30858,272,333
36487,275,4093
10591,255,1869
34001,274,2675
30414,271,3492
4103,250,2043
16902,261,2665
45103,290,809
4033,250,1973
29927,271,1692
34067,274,2887
23143,265,4099
21713,264,4398
6133,251,3482
11893,256,2778
37846,276,3461
10098,254,4334
12038,256,3276
2096,249,953
21507,264,4050
35551,275,2577
17727,262,1540
36135,275,3645
26048,267,4097
30675,271,4282
7956,253,1160
44023,285,2635
3103,249,3961
2200,249,1057
26974,268,3471
24679,266,4285
30440,271,3629
40190,278,835
39879,277,4044
25616,267,2910
9549,254,2491
43641,284,331
29735,271,831
24583,266,4088
38758,277,1483
23986,266,2083
26472,268,1379
762,248,829
