id,x,y
31447,272,2902
26949,268,3265
25923,267,3972
34914,275,790
15576,260,1381
39245,277,3001
7225,252,3089
19068,263,1891
14634,259,1556
21820,264,4557
2141,249,998
2813,249,3298
1945,249,802
29850,271,1388
26710,268,2091
3769,250,1257
2375,249,1333
18638,262,4524
18208,262,2915
14507,259,831
25924,267,3973
33614,274,1327
35254,275,1708
42596,279,4570
32055,272,4554
330,247,1291
25705,267,3266
4375,250,3340
5836,251,2873
42238,279,3435
21616,264,4270
21273,264,3514
36868,276,1230
44814,288,3514
8131,253,1607
33231,273,4253
20274,264,349
42337,279,3747
17272,261,3886
43543,283,2666
18284,262,3253
26078,267,4127
5127,251,958
1224,248,1939
43228,282,2585
39789,277,3954
5147,251,978
13292,257,4309
40150,278,795
6616,252,811
