id,x,y
24973,267,1120
8430,253,2795
7513,252,3670
42042,279,2988
35478,275,2033
27064,268,3672
30512,271,3701
13613,258,1360
44190,286,810
42924,281,795
26740,268,2542
42328,279,3738
3281,249,4340
16262,260,4380
38792,277,1517
36508,275,4114
2670,249,2772
32105,273,330
27845,269,2543
1340,248,2481
40902,278,3346
20582,264,1853
16073,260,3628
31439,272,2894
41895,279,2568
976,248,1043
26376,268,811
25832,267,3881
23838,266,1935
26136,267,4286
21860,265,343
42285,279,3513
43414,283,790
37079,276,1718
17138,261,3259
32954,273,3492
45437,292,315
31070,272,1489
735,248,802
21257,264,3498
39841,277,4006
41438,278,4408
42102,279,3048
37523,276,2972
24753,266,4400
37992,276,3724
1151,248,1605
18277,262,3246
26945,268,3261
5029,251,860
