id,x,y
3225,249,4083
4252,250,2895
4111,250,2051
12234,256,4111
5104,251,935
40057,277,4560
24822,266,4521
27923,269,2868
3430,250,822
20453,264,1547
17244,261,3667
3313,249,4483
23638,266,1548
28541,270,336
12692,257,1596
19004,263,1827
14283,258,4348
8454,253,2885
36767,276,803
42279,279,3507
22895,265,3660
18360,262,3631
19807,263,3907
41844,279,1976
41740,279,1500
37914,276,3640
45179,290,2651
22460,265,2550
13387,257,4465
14178,258,3886
34561,274,3931
37604,276,3053
12402,256,4486
40168,278,813
42331,279,3741
22464,265,2554
10903,255,3267
6324,251,4025
17995,262,2606
31774,272,3713
12308,256,4321
31992,272,4410
22396,265,2075
44206,286,826
24524,266,4029
27010,268,3507
37063,276,1702
16699,261,1826
43761,284,2623
29401,270,4102
