id,x,y
40861,278,3094
38506,277,348
1525,248,3375
19543,263,2888
23859,266,1956
21331,264,3874
16393,261,334
12567,257,1139
6933,252,1882
35643,275,2886
26673,268,2054
18824,263,1374
15757,260,1845
19211,263,2034
40015,277,4407
11780,256,2063
35971,275,3370
23924,266,2021
24350,266,3669
40073,277,4576
27236,268,4363
7133,252,2765
34502,274,3716
37830,276,3445
38157,276,3980
42979,281,2581
5716,251,2060
30110,271,2553
38515,277,788
13646,258,1393
18722,263,790
13424,257,4502
19636,263,3243
6552,252,316
22846,265,3500
28129,269,3512
34441,274,3655
9951,254,3925
20496,264,1661
25835,267,3884
6214,251,3674
22684,265,2885
18066,262,2677
8276,253,2024
12555,257,1127
9783,254,3309
3003,249,3489
19721,263,3630
24191,266,3122
2317,249,1275
