id,x,y
23664,266,1665
39718,277,3787
17334,261,4304
41551,279,348
15945,260,3107
27526,269,1153
4447,250,3412
17792,262,1656
5887,251,3095
32454,273,1850
14254,258,4318
2440,249,1634
286,247,1247
22435,265,2525
19282,263,2526
14825,259,2525
1675,248,3958
17960,262,2571
32782,273,3083
26189,267,4390
35918,275,3317
11400,256,341
20145,263,4438
11921,256,2882
12593,257,1165
11079,255,3906
42344,279,3754
10230,255,323
45501,292,820
7342,252,3337
40429,278,1888
16451,261,823
30491,271,3680
1257,248,1972
5386,251,1308
4580,250,3656
19214,263,2037
38360,276,4390
31126,272,1686
33651,274,1364
19369,263,2613
21204,264,3254
1684,248,3967
32436,273,1741
20065,263,4296
9571,254,2513
34795,274,4428
30467,271,3656
6451,251,4328
30762,271,4440
