id,x,y
23591,266,1405
27997,269,3103
15898,260,2889
22639,265,2729
15344,259,4479
24483,266,3988
17536,262,325
23581,266,1395
35238,275,1531
18767,263,835
17947,262,2558
32433,273,1738
24761,266,4419
36862,276,1224
39116,277,2700
31450,272,2905
29923,271,1688
14395,258,4522
38632,277,1241
5468,251,1601
45285,291,354
32260,273,1323
10470,255,1587
5629,251,1973
14039,258,3254
11652,256,1623
12664,257,1568
20613,264,1884
43952,285,818
43432,283,808
37364,276,2595
17622,262,1113
19029,263,1852
16319,260,4499
23991,266,2088
19241,263,2064
1145,248,1599
4509,250,3474
12933,257,2782
10312,255,836
4978,251,809
30995,272,1192
26870,268,2914
15996,260,3254
20711,264,1982
44088,285,3486
13473,258,317
30120,271,2563
2126,249,983
10095,254,4331
