id,x,y
13712,258,1600
44115,285,3513
19453,263,2697
14762,259,1846
41565,279,793
1884,249,310
33908,274,2035
24701,266,4307
22015,265,1411
7020,252,2020
26822,268,2745
3323,249,4493
42376,279,3786
42447,279,3998
27285,268,4413
36687,275,4576
40834,278,3067
31244,272,1895
12333,256,4346
16824,261,2587
18540,262,4374
23522,266,1135
34331,274,3434
34346,274,3449
4920,251,320
21023,264,2705
41024,278,3479
12469,257,324
36566,275,4273
19449,263,2693
19814,263,3914
8567,253,3290
37297,276,2042
36709,276,314
27186,268,4262
22989,265,3945
36652,275,4541
2314,249,1272
38683,277,1292
13978,258,3092
25478,267,2525
3888,250,1602
16611,261,1581
20189,263,4513
25958,267,4007
23312,265,4436
499,247,3361
33554,274,1196
24657,266,4263
43746,284,2608
