id,x,y
28245,269,3925
5844,251,2881
39546,277,3488
15375,259,4511
24127,266,2887
36682,275,4571
5356,251,1278
23666,266,1667
32679,273,2874
26018,267,4067
43364,283,309
26831,268,2875
11483,256,1141
33360,273,4544
28655,270,1167
8931,253,4319
41393,278,4252
23919,266,2016
36983,276,1345
39310,277,3066
10982,255,3487
37685,276,3300
29365,270,3905
28607,270,833
18740,263,808
3485,250,877
1022,248,1215
9950,254,3924
9938,254,3912
18660,262,4546
42296,279,3645
6152,251,3501
31555,272,3252
29020,270,2709
37010,276,1478
6665,252,1171
22034,265,1531
8001,253,1205
23331,265,4455
27659,269,1669
38729,277,1338
29022,270,2711
25152,267,1687
9653,254,2892
33511,274,1153
40034,277,4426
11993,256,3125
33487,274,823
40885,278,3329
37102,276,1741
