id,x,y
13696,258,1584
14927,259,2904
36126,275,3636
11514,256,1172
9878,254,3636
40239,278,1235
20877,264,2559
26721,268,2523
35151,275,1343
42917,281,788
2918,249,3403
41680,279,1279
15711,260,1673
30234,271,2909
10379,255,1335
17080,261,3110
5036,251,867
36968,276,1330
13484,258,328
38311,276,4240
44201,286,821
26129,267,4279
14913,259,2890
15467,260,795
21958,265,1143
9481,254,2052
37534,276,2983
40699,278,2896
12636,257,1389
27532,269,1159
24356,266,3675
26534,268,1537
41946,279,2660
15630,260,1561
12984,257,2914
4853,250,4467
22136,265,1815
9782,254,3308
6332,251,4033
26083,267,4132
13205,257,3905
28134,269,3628
21065,264,2747
21554,264,4097
23222,265,4284
39845,277,4010
30105,271,2548
41664,279,1263
35424,275,1979
45231,290,3509
