id,x,y
33744,274,1704
25096,267,1540
29405,270,4106
37234,276,1979
13370,257,4448
27158,268,4138
1847,248,4477
9141,254,832
39625,277,3694
27928,269,2873
12864,257,2502
42011,279,2896
44083,285,3481
41065,278,3636
45210,290,3488
45194,290,3472
28842,270,1828
45669,293,2628
12706,257,1621
3915,250,1629
37547,276,2996
30614,271,4130
39865,277,4030
18793,263,1132
42079,279,3025
29891,271,1525
45140,290,2612
34621,274,4062
397,247,1962
10150,254,4467
3772,250,1260
372,247,1937
27270,268,4397
880,248,947
20632,264,1903
15886,260,2877
41690,279,1289
21650,264,4304
36326,275,3932
6696,252,1202
30540,271,3910
42099,279,3045
28086,269,3469
14777,259,1861
39888,277,4053
29705,271,801
24003,266,2511
39395,277,3337
22192,265,1871
14147,258,3654
