id,x,y
25472,267,2519
23835,266,1932
13247,257,4128
43716,284,2578
20567,264,1838
25543,267,2721
27809,269,2081
23118,265,4074
30450,271,3639
44091,285,3489
24987,267,1134
30217,271,2892
25115,267,1559
10029,254,4124
923,248,990
23938,266,2035
28578,270,804
40271,278,1267
2782,249,3106
14126,258,3633
22811,265,3274
14107,258,3503
33480,274,816
7284,252,3279
2357,249,1315
5244,251,1166
35126,275,1318
3559,250,951
31355,272,2583
4195,250,2787
2062,249,919
20324,264,830
22333,265,2012
10326,255,1141
40536,278,1995
6148,251,3497
20931,264,2613
36224,275,3734
26378,268,813
3079,249,3676
42326,279,3736
33790,274,1846
38399,276,4429
6089,251,3438
23905,266,2002
7277,252,3272
5295,251,1217
3719,250,1207
38028,276,3760
32087,273,312
