id,x,y
36078,275,3477
32945,273,3483
33850,274,1906
41589,279,817
40041,277,4433
35409,275,1964
27826,269,2524
10822,255,2904
34985,275,1177
45095,290,801
43247,282,2604
39491,277,3433
35685,275,2928
44420,287,804
36745,276,350
3610,250,1002
20175,263,4468
30804,271,4553
6772,252,1329
24438,266,3943
18585,262,4450
172,247,971
41967,279,2681
475,247,3115
40758,278,2991
35607,275,2704
25164,267,1699
28145,269,3639
12031,256,3269
18792,263,1131
13586,258,1142
510,247,3372
42830,280,3479
11626,256,1596
24080,266,2729
37384,276,2676
35804,275,3047
33413,274,318
24505,266,4010
2154,249,1011
22166,265,1845
10089,254,4325
40870,278,3314
358,247,1922
32756,273,2951
31066,272,1394
2730,249,2883
10499,255,1616
6212,251,3672
389,247,1954
