id,x,y
20327,264,833
5866,251,2903
38830,277,1736
22035,265,1532
23617,266,1527
35648,275,2891
26148,267,4298
11781,256,2064
45245,291,314
26076,267,4125
26709,268,2090
24945,267,816
28125,269,3508
22620,265,2710
33334,273,4437
39012,277,2034
27704,269,1714
15349,259,4484
23966,266,2063
23072,265,4028
25458,267,2089
27851,269,2549
28291,269,4142
29174,270,3246
11294,255,4464
29986,271,1847
37418,276,2710
1530,248,3380
13062,257,3269
30445,271,3634
2178,249,1035
15228,259,4311
31666,272,3494
40877,278,3321
29442,270,4143
5741,251,2471
35388,275,1943
32439,273,1835
23498,266,1111
943,248,1010
36023,275,3422
36493,275,4099
45076,290,351
37973,276,3705
15871,260,2771
31605,272,3302
27425,269,340
22340,265,2019
30494,271,3683
26434,268,1150
