id,x,y
30188,271,2732
16607,261,1577
31006,272,1334
42858,280,3507
31496,272,2951
24101,266,2750
40671,278,2702
31153,272,1713
19608,263,3124
40922,278,3366
22164,265,1843
26550,268,1553
22231,265,1910
14372,258,4499
44139,286,328
38922,277,1944
18855,263,1405
26658,268,1858
27750,269,1851
1909,249,335
44604,288,321
31268,272,2050
9682,254,3092
4875,250,4489
6413,251,4114
2089,249,946
40844,278,3077
4707,250,4034
4424,250,3389
45332,291,832
19113,263,1936
17401,261,4382
8483,253,2914
24133,266,2893
42325,279,3735
26276,267,4539
13296,257,4313
12388,256,4472
6298,251,3999
1372,248,2794
40081,277,4584
10803,255,2885
23447,266,789
43327,282,3481
44973,289,2656
40629,278,2660
6330,251,4031
30066,271,2073
42937,281,808
45098,290,804
