id,x,y
3461,250,853
15764,260,1852
28122,269,3505
19009,263,1832
32916,273,3454
32426,273,1731
740,248,807
21021,264,2703
11338,255,4508
13848,258,2509
16127,260,3878
16081,260,3636
14044,258,3259
20518,264,1683
44606,288,323
37106,276,1745
45115,290,821
29702,271,798
7301,252,3296
12327,256,4340
41894,279,2567
7082,252,2463
28029,269,3135
45288,291,788
44299,286,2670
36057,275,3456
27534,269,1161
14506,259,830
39871,277,4036
18891,263,1547
21430,264,3973
44587,287,3513
12654,257,1558
23716,266,1813
4197,250,2789
39645,277,3714
24789,266,4447
9142,254,833
34980,275,1172
21307,264,3659
41999,279,2884
29000,270,2689
36335,275,3941
6870,252,1623
26419,268,1135
16090,260,3645
8693,253,3507
31430,272,2885
37603,276,3052
38090,276,3822
