id,x,y
2012,249,869
25511,267,2558
8373,253,2497
44882,289,804
20799,264,2070
30632,271,4148
30009,271,1870
11777,256,2060
39234,277,2990
36216,275,3726
23850,266,1947
16998,261,2761
44653,288,801
36706,276,311
9979,254,3953
10351,255,1166
26585,268,1689
7984,253,1188
8523,253,3125
39652,277,3721
31630,272,3458
37579,276,3028
19901,263,4001
21009,264,2691
18345,262,3505
24886,267,326
21723,264,4429
45002,289,3486
9969,254,3943
45577,292,3488
6203,251,3663
15615,260,1546
41670,279,1269
34073,274,2893
16647,261,1658
11915,256,2876
909,248,976
21810,264,4547
9957,254,3931
40028,277,4420
22060,265,1557
42846,280,3495
477,247,3338
32349,273,1503
21115,264,2903
38936,277,1958
19044,263,1867
23242,265,4304
16949,261,2712
9483,254,2054
