id,x,y
12950,257,2880
44371,287,324
33872,274,1999
21463,264,4006
15261,259,4345
779,248,846
1500,248,3350
41667,279,1266
20465,264,1559
12674,257,1578
25200,267,1831
10685,255,2475
16652,261,1663
30114,271,2557
43650,284,340
27577,269,1385
3871,250,1585
5745,251,2475
7920,253,823
27032,268,3640
40055,277,4558
16749,261,2512
26752,268,2554
13385,257,4463
27192,268,4268
6814,252,1371
42926,281,797
11798,256,2081
10016,254,4111
30720,271,4398
6712,252,1218
28866,270,1852
26735,268,2537
43188,282,809
25653,267,3118
19338,263,2582
22380,265,2059
6603,252,798
35828,275,3071
3097,249,3955
20513,264,1678
43539,283,2662
34997,275,1189
23006,265,3962
5097,251,928
23523,266,1136
4276,250,3090
7950,253,1154
40030,277,4422
30560,271,3930
