id,x,y
23801,266,1898
17613,262,833
32771,273,2966
8893,253,4130
11779,256,2062
13981,258,3095
24638,266,4143
26223,267,4435
41923,279,2596
15795,260,2509
19569,263,2914
14009,258,3123
26280,267,4543
9092,254,352
37448,276,2891
20129,263,4391
25112,267,1556
28262,269,4113
13275,257,4292
24277,266,3485
29564,270,4427
23448,266,790
9573,254,2515
38088,276,3820
37246,276,1991
35526,275,2552
33039,273,3688
39965,277,4246
6316,251,4017
32827,273,3254
23625,266,1535
11217,255,4316
19863,263,3963
8788,253,3934
23542,266,1155
1097,248,1290
4187,250,2779
35858,275,3101
12059,256,3297
6958,252,1907
23663,266,1664
33022,273,3671
720,248,346
14872,259,2763
35120,275,1312
9123,254,814
42690,280,816
36892,276,1254
42069,279,3015
28646,270,1158
