id,x,y
38282,276,4105
12045,256,3283
8326,253,2074
42506,279,4057
21290,264,3642
27767,269,1868
25256,267,1887
10559,255,1837
19524,263,2869
21831,265,314
5552,251,1896
31395,272,2714
8575,253,3298
27500,269,1127
1166,248,1620
12969,257,2899
44646,288,794
27632,269,1531
23597,266,1411
4965,251,796
20136,263,4429
378,247,1943
13781,258,1831
16636,261,1647
27180,268,4256
18698,263,335
43878,285,313
15853,260,2753
31728,272,3667
5689,251,2033
41909,279,2582
19695,263,3493
18778,263,1117
35393,275,1948
15182,259,3914
31845,272,3955
29142,270,3108
8736,253,3661
44222,286,2593
10046,254,4141
43841,284,3485
2218,249,1075
43595,283,3494
9128,254,819
29104,270,2924
39236,277,2992
4133,250,2464
26850,268,2894
7017,252,2017
41306,278,4029
