id,x,y
21666,264,4351
37621,276,3070
21809,264,4546
33929,274,2056
10873,255,3126
26928,268,3244
35402,275,1957
40954,278,3398
41098,278,3669
8605,253,3328
37986,276,3718
33498,274,834
31579,272,3276
22834,265,3488
11409,256,350
989,248,1056
25477,267,2524
34740,274,4282
28734,270,1508
33886,274,2013
34539,274,3909
34257,274,3289
10649,255,2068
2251,249,1209
42115,279,3061
6904,252,1853
41688,279,1287
23391,265,4556
31863,272,4104
32040,272,4539
41060,278,3515
33870,274,1926
39049,277,2572
25538,267,2716
2381,249,1339
17192,261,3504
41499,278,4580
4977,251,808
33632,274,1345
11536,256,1355
24320,266,3639
4219,250,2811
45591,292,3502
17603,262,823
43413,283,789
2349,249,1307
14422,259,315
23620,266,1530
21886,265,800
30951,272,1148
