id,x,y
43469,283,2581
35057,275,1249
28966,270,2544
21447,264,3990
41792,279,1924
8509,253,3111
25349,267,1980
11150,255,4118
9968,254,3942
41493,278,4574
1404,248,2887
39502,277,3444
30407,271,3485
34138,274,2958
43145,282,335
6358,251,4059
21503,264,4046
25091,267,1535
40540,278,1999
10615,255,2034
41082,278,3653
30883,272,789
17441,261,4463
41836,279,1968
19355,263,2599
26047,267,4096
30492,271,3681
25484,267,2531
26775,268,2698
37462,276,2905
41247,278,3970
34162,274,2982
5133,251,964
19034,263,1857
19301,263,2545
41913,279,2586
42008,279,2893
27478,269,824
9035,253,4514
23645,266,1555
40639,278,2670
10746,255,2757
31400,272,2719
36521,275,4127
26118,267,4268
42660,280,355
27931,269,2876
6672,252,1178
34080,274,2900
34998,275,1190
