id,x,y
42024,279,2970
310,247,1271
19405,263,2649
14539,259,1139
32281,273,1344
33315,273,4418
41718,279,1478
6479,251,4356
19135,263,1958
44421,287,805
30464,271,3653
43253,282,2610
7023,252,2023
14893,259,2870
44179,286,799
36460,275,4066
38490,277,332
12997,257,3098
11177,255,4145
35901,275,3300
20714,264,1985
7435,252,3481
1813,248,4322
17168,261,3480
25644,267,3109
45672,293,2631
42060,279,3006
35499,275,2054
2755,249,2908
12149,256,3659
31785,272,3895
44927,289,2610
42761,280,2613
8224,253,1881
13800,258,1850
27550,269,1358
4283,250,3097
25462,267,2093
24327,266,3646
33080,273,3895
36340,275,3946
5340,251,1262
28090,269,3473
4851,250,4465
3846,250,1334
25313,267,1944
20276,264,351
36512,275,4118
30806,271,4555
12470,257,325
