id,x,y
5177,251,1008
41649,279,1248
26499,268,1406
19179,263,2002
3245,249,4103
25374,267,2005
21543,264,4086
3651,250,1043
27053,268,3661
19172,263,1995
18040,262,2651
26401,268,836
32792,273,3093
45400,291,3482
44902,289,824
189,247,988
34649,274,4090
11352,255,4522
24432,266,3937
12641,257,1394
45414,291,3496
11116,255,3943
6937,252,1886
33550,274,1192
45114,290,820
29627,270,4561
30278,271,3089
30744,271,4422
23479,266,821
20300,264,806
19833,263,3933
32713,273,2908
45485,292,804
25017,267,1365
23510,266,1123
13830,258,2491
26924,268,3240
44187,286,807
28795,270,1690
33011,273,3660
2515,249,1945
37358,276,2589
2969,249,3454
11769,256,2052
44118,285,3516
20663,264,1934
20592,264,1863
7016,252,2016
35820,275,3063
1065,248,1258
