id,x,y
42303,279,3652
39606,277,3659
39639,277,3708
30735,271,4413
35815,275,3058
22106,265,1684
13390,257,4468
25847,267,3896
29403,270,4104
2720,249,2873
32455,273,1851
24472,266,3977
30184,271,2728
9902,254,3660
27140,268,4120
18745,263,813
8922,253,4310
41404,278,4263
14627,259,1549
9988,254,4083
24264,266,3472
22064,265,1561
31749,272,3688
12086,256,3485
22862,265,3516
35768,275,3011
24903,267,343
15880,260,2871
15249,259,4333
2245,249,1203
44333,286,3495
9272,254,1380
16134,260,3885
45256,291,325
20419,264,1407
30321,271,3248
1070,248,1263
4805,250,4318
44429,287,813
11275,255,4374
9854,254,3501
37388,276,2680
37288,276,2033
5090,251,921
11697,256,1668
6666,252,1172
40909,278,3353
5784,251,2765
34782,274,4415
3175,249,4033
