id,x,y
11085,255,3912
20977,264,2659
19127,263,1950
9135,254,826
2562,249,1992
292,247,1253
14624,259,1546
20167,263,4460
27035,268,3643
17679,262,1381
24208,266,3230
29320,270,3674
14921,259,2898
36154,275,3664
38652,277,1261
27155,268,4135
3953,250,1893
18051,262,2662
17127,261,3248
42254,279,3482
30823,271,4572
29094,270,2914
16595,261,1565
19352,263,2596
24021,266,2529
23739,266,1836
41026,278,3481
44308,286,3470
12912,257,2761
34379,274,3482
9108,254,799
28875,270,1861
3475,250,867
5209,251,1040
45604,293,321
23671,266,1672
27543,269,1170
22188,265,1867
39522,277,3464
40827,278,3060
33398,273,4582
33993,274,2586
16509,261,1152
20865,264,2547
28405,269,4408
30128,271,2571
4264,250,2907
9125,254,816
19182,263,2005
15611,260,1542
