id,x,y
22319,265,1998
11782,256,2065
38011,276,3743
6460,251,4337
43857,284,3501
31116,272,1535
10225,255,318
6091,251,3440
34292,274,3324
32325,273,1388
2649,249,2480
5041,251,872
18735,263,803
31406,272,2725
11410,256,351
24179,266,3110
17268,261,3882
38165,276,3988
14111,258,3507
28036,269,3243
24111,266,2871
15573,260,1378
34241,274,3273
16468,261,1111
28643,270,1155
34436,274,3650
30851,272,326
28697,270,1380
9045,253,4524
19232,263,2055
8977,253,4365
4968,251,799
16932,261,2695
25550,267,2728
5970,251,3319
37720,276,3335
1810,248,4319
3596,250,988
7057,252,2057
16947,261,2710
4586,250,3662
16040,260,3484
30364,271,3291
13622,258,1369
13519,258,794
3583,250,975
33092,273,3907
6806,252,1363
35274,275,1728
19,247,818
