id,x,y
10087,254,4323
27749,269,1850
23892,266,1989
31299,272,2081
14658,259,1580
16186,260,4293
34023,274,2697
10430,255,1386
1211,248,1926
41372,278,4095
9061,254,321
21708,264,4393
2441,249,1635
22897,265,3662
3580,250,972
14557,259,1157
37339,276,2570
28847,270,1833
17325,261,4295
19425,263,2669
43939,285,805
4661,250,3988
34398,274,3501
30681,271,4288
34405,274,3508
4865,250,4479
4531,250,3496
38485,277,327
35898,275,3297
14853,259,2744
16344,260,4524
39178,277,2934
43988,285,2600
13807,258,1857
8039,253,1334
36965,276,1327
16289,260,4458
9355,254,1634
34913,275,789
28503,269,4567
19594,263,3110
22202,265,1881
7572,252,3960
35974,275,3373
4030,250,1970
26278,267,4541
22483,265,2573
35882,275,3281
18166,262,2873
33625,274,1338
