id,x,y
17729,262,1542
13202,257,3902
16191,260,4298
14626,259,1548
24330,266,3649
970,248,1037
42316,279,3665
6028,251,3377
30869,272,344
12634,257,1387
18521,262,4355
44733,288,2637
7626,252,4065
583,247,3979
9052,254,312
26477,268,1384
27004,268,3501
4620,250,3947
4106,250,2046
1876,248,4506
7398,252,3444
10323,255,1138
16696,261,1823
36118,275,3628
39071,277,2594
28900,270,2047
5206,251,1037
8443,253,2874
41377,278,4236
32484,273,1880
38054,276,3786
20948,264,2630
38426,276,4557
33226,273,4248
30685,271,4292
30424,271,3502
44948,289,2631
30155,271,2699
5437,251,1359
34395,274,3498
20738,264,2009
14218,258,3926
34216,274,3107
31100,272,1519
35324,275,1879
16866,261,2629
10765,255,2776
31824,272,3934
17692,262,1394
44042,285,2654
