id,x,y
14085,258,3481
28616,270,1128
10707,255,2497
12097,256,3496
21927,265,1112
28404,269,4407
1899,249,325
27688,269,1698
5875,251,2912
19687,263,3485
36749,276,354
34789,274,4422
36045,275,3444
44681,288,829
30598,271,4114
40635,278,2666
5358,251,1280
39567,277,3509
32901,273,3439
7246,252,3110
33416,274,321
12956,257,2886
9564,254,2506
30607,271,4123
33764,274,1724
21796,264,4533
1681,248,3964
30053,271,2060
36114,275,3513
5475,251,1608
29966,271,1731
43392,283,337
41491,278,4572
28694,270,1377
6016,251,3365
3028,249,3514
45221,290,3499
17736,262,1549
38827,277,1733
45236,290,3514
22429,265,2519
7128,252,2760
89,247,888
39622,277,3675
3693,250,1181
23729,266,1826
23471,266,813
31122,272,1541
43929,285,795
15847,260,2747
