id,x,y
20695,264,1966
41474,278,4555
15963,260,3125
40045,277,4548
31256,272,2038
14131,258,3638
29053,270,2873
23499,266,1112
39942,277,4107
36141,275,3651
41368,278,4091
42166,279,3363
43524,283,2647
38798,277,1704
27266,268,4393
13688,258,1576
9334,254,1613
11293,255,4463
36076,275,3475
36742,276,347
13177,257,3671
38083,276,3815
45067,290,342
4813,250,4326
40507,278,1966
34720,274,4262
15745,260,1833
31967,272,4385
43844,284,3488
20227,263,4551
24928,267,799
36998,276,1360
44876,289,798
10154,254,4471
40415,278,1738
27397,269,312
19642,263,3249
15267,259,4351
1626,248,3502
24446,266,3951
15676,260,1638
40620,278,2600
12399,256,4483
19166,263,1989
12890,257,2739
7306,252,3301
18436,262,3898
16074,260,3629
41930,279,2603
26045,267,4094
