id,x,y
37282,276,2027
18203,262,2910
3536,250,928
8890,253,4127
4562,250,3638
2467,249,1897
36691,275,4580
19276,263,2520
37504,276,2953
35094,275,1286
3709,250,1197
6538,251,4516
3172,249,4030
12021,256,3259
23110,265,4066
44977,289,2660
13809,258,1859
45613,293,330
16582,261,1552
42521,279,4072
35795,275,3038
8552,253,3275
20104,263,4366
17455,261,4477
40590,278,2570
15097,259,3633
12698,257,1602
23699,266,1700
19748,263,3657
19489,263,2733
43741,284,2603
27983,269,3089
18272,262,3241
18304,262,3273
31297,272,2079
16024,260,3468
24783,266,4441
14820,259,2520
34154,274,2974
17129,261,3250
21135,264,3094
42443,279,3994
29508,270,4371
43060,281,2688
7791,252,4482
42905,281,345
39719,277,3788
18582,262,4447
32183,273,1135
24279,266,3487
