id,x,y
27470,269,816
24906,267,346
3027,249,3513
23723,266,1820
35574,275,2671
11199,255,4298
24764,266,4422
29438,270,4139
17247,261,3670
36043,275,3442
34816,274,4540
21470,264,4013
26089,267,4138
26445,268,1161
6109,251,3458
4132,250,2463
44916,289,2599
24157,266,3088
14803,259,2503
16578,261,1548
7040,252,2040
33017,273,3666
36169,275,3679
8435,253,2800
18207,262,2914
19496,263,2740
2201,249,1058
40803,278,3036
43513,283,2625
2302,249,1260
36947,276,1309
22165,265,1844
5798,251,2779
31622,272,3450
27198,268,4274
765,248,832
42913,281,353
4676,250,4003
7600,252,3988
18859,263,1409
1294,248,2009
42764,280,2616
6199,251,3659
26409,268,1125
24594,266,4099
14533,259,1133
15031,259,3275
4786,250,4113
8716,253,3641
18833,263,1383
